Date,Campaign_Name,Platform,Impressions,Clicks,Spend_INR,Conversions,Revenue_INR,CTR_Percent,Conversion_Rate_Percent
2024-11-29,App Install,Google Ads,9820,1792,25864,383,149930,5.39,5.32
2024-11-30,Festive Sale,Twitter,25070,1975,42174,68,80003,8.18,10.19
2024-12-01,Lead Generation,LinkedIn,70768,669,27925,366,184467,2.91,11.4
2024-12-02,Brand Awareness,Facebook Ads,12122,1324,29102,372,40758,2.84,0.32
2024-12-03,Festive Sale,Facebook Ads,81559,1006,23753,214,55312,4.33,3.19
2024-12-04,App Install,Instagram,74543,1989,23972,143,69670,9.0,10.73
2024-12-05,Festive Sale,Instagram,84441,4003,49730,376,83279,0.5,5.86
2024-12-06,Brand Awareness,Twitter,42786,1018,8580,232,16434,9.06,9.97
2024-12-07,Festive Sale,Twitter,95934,9558,7599,213,196119,1.96,5.27
2024-12-08,Product Launch,Google Ads,7737,9285,25931,79,179847,9.91,5.92
2024-12-09,Festive Sale,Google Ads,37062,331,31686,214,76769,9.57,2.46
2024-12-10,Lead Generation,Twitter,55237,6312,48184,116,67677,5.2,3.95
2024-12-11,Lead Generation,Twitter,52571,1108,30611,92,84555,5.37,9.12
2024-12-12,Product Launch,LinkedIn,26510,4343,40351,270,129379,5.07,6.55
2024-12-13,Brand Awareness,Instagram,20426,5228,23114,411,177806,6.54,11.64
2024-12-14,Lead Generation,Google Ads,38265,7030,27224,381,102665,1.36,12.8
2024-12-15,App Install,Instagram,18850,9250,42491,489,172675,0.81,8.17
2024-12-16,Lead Generation,Instagram,67150,1279,5440,168,69803,1.05,11.4
2024-12-17,Lead Generation,Twitter,88312,9277,29258,58,171404,4.72,4.67
2024-12-18,Brand Awareness,LinkedIn,90613,4635,36724,284,92703,3.12,6.28
2024-12-19,Festive Sale,Facebook Ads,75910,8517,8288,26,22312,6.41,10.72
2024-12-20,Lead Generation,LinkedIn,53375,2790,28582,369,176251,9.93,5.85
2024-12-21,Product Launch,LinkedIn,36435,2339,24534,447,118961,4.17,8.87
2024-12-22,Festive Sale,Instagram,97443,1289,35979,66,41379,5.95,2.86
2024-12-23,App Install,LinkedIn,58132,5420,11780,409,18297,4.45,9.04
2024-12-24,Brand Awareness,Google Ads,79945,175,18552,248,3011,8.55,12.94
2024-12-25,App Install,Instagram,83050,7523,17031,254,121234,9.07,13.04
2024-12-26,Festive Sale,Google Ads,96402,9450,23304,387,45014,8.83,10.89
2024-12-27,Festive Sale,Facebook Ads,3983,5392,29403,456,143810,9.76,11.21
2024-12-28,Festive Sale,Instagram,98241,7401,45357,44,95333,0.76,8.41
2024-12-29,App Install,Facebook Ads,21662,6688,10642,97,179570,8.48,8.81
2024-12-30,Festive Sale,Instagram,24510,6620,48855,42,12120,7.64,2.09
2024-12-31,App Install,Twitter,79187,3299,10366,227,140839,2.67,6.71
2025-01-01,Festive Sale,LinkedIn,41998,9160,5031,262,23852,9.59,6.82
2025-01-02,Product Launch,Twitter,57846,7645,45954,167,80239,1.91,14.38
2025-01-03,Festive Sale,Facebook Ads,95071,6344,38598,436,133001,6.96,6.52
2025-01-04,App Install,LinkedIn,7640,6577,38778,279,92575,2.64,8.29
2025-01-05,Lead Generation,Instagram,45547,5807,28638,89,96040,4.6,8.05
2025-01-06,Festive Sale,LinkedIn,55620,2019,27565,379,149510,7.33,9.59
2025-01-07,Lead Generation,Google Ads,16317,941,30456,178,180587,5.85,11.25
2025-01-08,Product Launch,LinkedIn,8564,4520,42232,427,6744,4.56,3.45
2025-01-09,Brand Awareness,Google Ads,28345,7225,39761,403,174489,3.6,7.98
2025-01-10,Product Launch,LinkedIn,95223,9606,11259,197,139141,8.48,12.41
2025-01-11,Festive Sale,Google Ads,80273,8370,5939,307,43359,1.87,7.0
2025-01-12,Lead Generation,Facebook Ads,75859,9256,47741,267,151871,4.59,4.25
2025-01-13,Lead Generation,Twitter,81765,6862,43033,268,99746,9.09,9.86
2025-01-14,App Install,Instagram,75038,7569,28770,74,121906,8.54,12.37
2025-01-15,Lead Generation,LinkedIn,53393,4662,13779,8,8597,4.31,1.04
2025-01-16,App Install,Twitter,67081,9760,39779,408,48093,7.75,11.67
2025-01-17,Brand Awareness,Instagram,30430,1248,44751,476,169298,8.32,12.34
2025-01-18,Festive Sale,Instagram,76532,5288,24388,297,115650,8.94,6.98
2025-01-19,App Install,Google Ads,28788,6139,18130,164,158489,5.67,14.75
2025-01-20,Brand Awareness,Facebook Ads,96505,6307,35644,485,150765,2.44,11.82
2025-01-21,Lead Generation,Facebook Ads,49543,7755,31682,85,121956,2.93,11.63
2025-01-22,Lead Generation,Twitter,14919,3769,26038,72,116598,3.31,11.24
2025-01-23,Brand Awareness,Facebook Ads,70346,352,12324,55,185233,6.14,2.34
2025-01-24,Lead Generation,LinkedIn,97122,1036,32625,393,134241,0.81,3.34
2025-01-25,Brand Awareness,Facebook Ads,40974,4490,7479,47,154124,6.54,7.01
2025-01-26,App Install,Twitter,17371,4959,26689,399,9036,3.96,4.03
2025-01-27,App Install,Facebook Ads,46084,3122,43100,432,32778,3.3,6.29
2025-01-28,Brand Awareness,LinkedIn,30629,3174,13004,238,159806,8.86,13.34
2025-01-29,App Install,Google Ads,52184,9569,21169,104,155245,4.87,12.38
2025-01-30,App Install,Twitter,62916,8175,7410,210,162475,1.4,9.49
2025-01-31,App Install,Google Ads,74972,3341,47357,42,198393,8.35,12.89
2025-02-01,Product Launch,Google Ads,63187,4083,35464,316,138416,0.95,11.78
2025-02-02,Festive Sale,Google Ads,13984,5155,20631,468,19800,7.4,6.49
2025-02-03,Lead Generation,Instagram,34039,753,25727,454,26372,7.85,3.1
2025-02-04,Product Launch,Instagram,86431,8183,6478,268,62516,3.85,7.76
2025-02-05,App Install,Google Ads,84691,624,22491,386,21538,8.34,11.07
2025-02-06,Brand Awareness,Twitter,59606,5754,17653,263,64918,5.4,6.6
2025-02-07,App Install,LinkedIn,11616,7898,34048,336,147045,4.9,10.03
2025-02-08,Festive Sale,LinkedIn,51072,5258,43176,387,72155,0.93,1.51
2025-02-09,App Install,Facebook Ads,25574,6974,39571,365,60500,3.26,11.25
2025-02-10,Brand Awareness,Twitter,4430,3878,47954,259,168647,9.34,12.21
2025-02-11,Festive Sale,Instagram,13676,3280,4483,283,174333,4.22,10.63
2025-02-12,App Install,Google Ads,11816,538,10003,114,111659,5.69,14.51
2025-02-13,Festive Sale,Facebook Ads,33733,7164,30421,363,28716,5.55,12.42
2025-02-14,Lead Generation,LinkedIn,86680,9589,17405,40,135308,6.11,13.56
2025-02-15,Lead Generation,Instagram,3050,3223,46338,486,147920,1.08,14.01
2025-02-16,App Install,Instagram,34933,1717,24453,417,3352,3.94,12.04
2025-02-17,Festive Sale,Google Ads,25951,9879,27306,220,134004,7.37,10.15
2025-02-18,Brand Awareness,LinkedIn,33413,4164,45500,129,77449,2.41,0.19
2025-02-19,App Install,Twitter,35801,3603,22668,8,9556,2.43,7.04
2025-02-20,Lead Generation,Instagram,56619,7811,5083,101,87836,0.6,8.61
2025-02-21,Lead Generation,Google Ads,33913,1050,39214,416,137570,4.66,4.63
2025-02-22,App Install,Twitter,41600,9092,49645,380,51098,8.89,4.84
2025-02-23,Festive Sale,LinkedIn,58775,1438,40396,176,196458,0.99,14.42
2025-02-24,Lead Generation,Instagram,91816,5500,12389,107,113169,2.32,13.39
2025-02-25,Festive Sale,Twitter,91093,3762,27913,101,141641,3.45,12.75
2025-02-26,Lead Generation,Twitter,36400,1417,12775,260,127060,7.45,6.15
2025-02-27,Lead Generation,Twitter,5494,8239,2961,478,188954,6.59,0.3
2025-02-28,Product Launch,Instagram,81688,9063,14791,454,131544,4.45,1.3
2025-03-01,Lead Generation,Instagram,90431,504,47304,366,1340,7.71,4.75
2025-03-02,Brand Awareness,Facebook Ads,75691,9866,11935,246,176021,6.29,0.33
2025-03-03,App Install,LinkedIn,98419,2822,28435,275,83302,9.01,0.36
2025-03-04,App Install,Google Ads,44001,3776,33953,32,194515,8.27,13.76
2025-03-05,Festive Sale,Twitter,68364,7282,19044,137,1138,2.9,10.62
2025-03-06,Lead Generation,Facebook Ads,46028,4856,12758,12,132430,3.08,4.7
2025-03-07,Brand Awareness,Google Ads,98659,2240,31341,395,120619,1.69,2.08
2025-03-08,Festive Sale,Facebook Ads,38573,9158,49258,302,86376,3.7,7.72
2025-03-09,Product Launch,Instagram,1806,2925,49690,375,100931,10.0,0.18
2025-03-10,Festive Sale,Twitter,57638,5642,11236,16,162726,4.35,14.08
2025-03-11,Festive Sale,Google Ads,30757,1490,38143,129,157951,2.59,6.28
2025-03-12,Lead Generation,Google Ads,35636,8977,44450,63,82532,7.74,6.09
2025-03-13,Product Launch,Google Ads,81097,6109,35464,109,56778,5.65,5.92
2025-03-14,Festive Sale,Google Ads,49280,7060,28544,375,38772,1.92,1.13
2025-03-15,Brand Awareness,Google Ads,25262,7167,40433,21,59478,4.12,9.61
2025-03-16,Brand Awareness,Facebook Ads,81435,9203,16497,158,196425,4.44,11.02
2025-03-17,App Install,Twitter,63211,3039,14715,269,27762,7.66,10.17
2025-03-18,Product Launch,Instagram,55842,9268,33569,162,145355,0.7,2.16
2025-03-19,Product Launch,Instagram,57979,6278,24411,260,195994,3.06,8.72
2025-03-20,App Install,Instagram,82470,6521,17530,412,171492,5.42,8.59
2025-03-21,Festive Sale,Instagram,39197,2913,29834,102,56568,3.05,13.04
2025-03-22,Product Launch,Facebook Ads,42844,1227,15071,223,86090,6.47,5.75
2025-03-23,Brand Awareness,LinkedIn,65754,4810,43219,59,21219,5.08,5.64
2025-03-24,Brand Awareness,Twitter,35157,61,29427,247,58169,3.94,9.32
2025-03-25,Lead Generation,Google Ads,78129,5302,21214,128,75965,9.52,9.53
2025-03-26,Product Launch,LinkedIn,41042,4449,44041,283,178912,6.51,7.09
2025-03-27,Festive Sale,Instagram,62665,8284,23887,325,176767,1.73,6.7
2025-03-28,App Install,LinkedIn,83856,9185,28944,25,85754,5.82,7.46
2025-03-29,App Install,Twitter,28376,5495,49408,131,78988,7.92,12.93
2025-03-30,Festive Sale,Google Ads,56554,6620,20421,353,190414,7.23,6.97
2025-03-31,Lead Generation,Google Ads,15199,9246,13557,196,151023,2.13,14.1
2025-04-01,App Install,Twitter,82412,8262,45768,281,133379,9.74,7.61
2025-04-02,Product Launch,Twitter,51948,456,25358,404,81388,4.76,14.24
2025-04-03,Lead Generation,Instagram,74781,9256,49189,418,91768,2.01,12.51
2025-04-04,Product Launch,Google Ads,73750,4481,45138,154,36428,2.21,5.5
2025-04-05,Brand Awareness,LinkedIn,67262,5293,26562,382,93021,1.43,12.97
2025-04-06,Lead Generation,Facebook Ads,47600,6592,37350,133,119418,8.13,1.74
2025-04-07,App Install,Facebook Ads,77898,6986,46986,227,171047,1.66,13.88
2025-04-08,Lead Generation,Twitter,63483,8956,21067,189,133212,1.69,9.51
2025-04-09,Lead Generation,Instagram,19297,4196,30239,476,156914,8.58,0.91
2025-04-10,Lead Generation,Facebook Ads,31448,190,43785,477,27421,3.77,9.7
2025-04-11,Lead Generation,Google Ads,27172,4932,4254,265,2708,0.79,14.62
2025-04-12,Product Launch,Twitter,43874,6062,27544,372,135702,0.99,1.14
2025-04-13,Brand Awareness,LinkedIn,8657,1013,2224,486,151667,1.85,8.36
2025-04-14,Festive Sale,Twitter,85386,7201,1876,434,77021,2.53,11.24
2025-04-15,Lead Generation,LinkedIn,26425,8614,9206,134,160380,6.82,12.17
2025-04-16,App Install,Twitter,27685,3660,9394,211,45789,1.99,6.27
2025-04-17,Lead Generation,Twitter,25578,9934,18537,60,187762,1.63,3.14
2025-04-18,App Install,Twitter,29831,6944,18950,428,27086,7.76,0.73
2025-04-19,Product Launch,LinkedIn,8906,7361,16906,377,17859,6.88,8.74
2025-04-20,App Install,LinkedIn,62413,155,30225,395,8684,4.64,6.85
2025-04-21,Festive Sale,Twitter,55028,5589,6426,450,92088,5.72,14.24
2025-04-22,Brand Awareness,Facebook Ads,8287,9923,39519,431,133279,3.46,1.0
2025-04-23,App Install,Instagram,34660,6837,9996,364,47099,5.08,10.31
2025-04-24,App Install,Instagram,76758,2187,36568,364,199568,5.31,0.47
2025-04-25,Brand Awareness,Instagram,61504,4495,30306,457,67093,4.18,2.65
2025-04-26,Festive Sale,LinkedIn,60720,3580,23163,213,161761,9.11,6.86
2025-04-27,Lead Generation,LinkedIn,35701,1336,41821,216,49651,0.65,6.88
2025-04-28,App Install,Facebook Ads,84300,7102,36995,226,14893,7.93,10.32
2025-04-29,Brand Awareness,Instagram,18674,3704,23156,470,67418,1.68,13.66
2025-04-30,Product Launch,Instagram,84560,7152,26360,131,126074,8.08,9.62
2025-05-01,Brand Awareness,Twitter,24874,2409,17332,76,104065,6.35,14.31
2025-05-02,Product Launch,LinkedIn,44642,8155,39287,476,131351,8.51,13.24
2025-05-03,Festive Sale,Instagram,98820,8686,48731,286,192083,1.43,8.81
2025-05-04,Lead Generation,Facebook Ads,66160,6491,22227,474,39635,5.81,12.52
2025-05-05,Brand Awareness,Facebook Ads,18602,5097,43315,496,188187,5.26,9.67
2025-05-06,App Install,Instagram,89801,8277,30045,277,96071,7.21,1.27
2025-05-07,Festive Sale,LinkedIn,26931,5253,45022,156,79518,5.58,11.13
2025-05-08,Brand Awareness,Facebook Ads,95377,9717,3020,248,107233,5.64,1.51
2025-05-09,App Install,Twitter,30192,1848,3581,218,104651,4.58,8.95
2025-05-10,Brand Awareness,Facebook Ads,47542,9650,34696,190,73805,3.43,10.57
2025-05-11,Product Launch,Google Ads,43520,5341,37235,417,191026,5.08,1.09
2025-05-12,Brand Awareness,Google Ads,65772,5545,39713,469,160136,1.63,3.54
2025-05-13,Brand Awareness,LinkedIn,59762,9950,15066,163,123813,9.63,13.74
2025-05-14,Brand Awareness,Instagram,51106,6334,14542,180,80063,7.29,9.28
