Country,Date,Confirmed_Cases,Recovered_Cases,Deaths,Active_Cases,Tests_Conducted,Vaccinated,Gender
Italy,2021-05-18,112321,205600,3217,199950,730963,333997,Male
Australia,2021-05-19,477787,244933,8220,98773,693841,326190,Female
UK,2021-05-20,275478,114180,2114,12461,880005,311822,Male
Australia,2021-05-21,260769,425253,9445,57059,665917,288793,Female
India,2021-05-22,235036,146972,4357,146544,993475,127795,Other
India,2021-05-23,315685,405378,5544,173590,366446,88668,Other
Brazil,2021-05-24,946,121839,4556,32421,656522,213397,Male
Australia,2021-05-25,11054,155180,7063,57072,953246,145639,Male
France,2021-05-26,341483,176542,3375,71279,20675,473620,Male
UK,2021-05-27,244861,38940,6431,99121,74997,352050,Female
India,2021-05-28,308758,66067,3467,182318,149087,239141,Female
Brazil,2021-05-29,350480,178426,3082,96824,968561,96019,Male
Australia,2021-05-30,359823,164043,630,26765,951095,455160,Other
UK,2021-05-31,137641,132646,270,27655,487799,340146,Female
Australia,2021-06-01,423421,100474,5725,99903,520349,28803,Female
Italy,2021-06-02,304345,277242,5898,31224,756678,149302,Female
Brazil,2021-06-03,64423,428377,3433,141078,141905,148934,Male
UK,2021-06-04,92022,169026,9473,76423,271040,436571,Male
Germany,2021-06-05,189239,317106,6277,69302,427188,424475,Male
Germany,2021-06-06,180548,34058,5896,193071,312877,230147,Male
UK,2021-06-07,176759,393326,7116,193768,776723,480661,Male
Australia,2021-06-08,430292,205788,6657,70067,567088,30795,Other
Brazil,2021-06-09,235759,83609,576,63087,97044,270914,Other
Germany,2021-06-10,389778,55387,7030,89868,268491,11093,Male
Brazil,2021-06-11,329828,372810,6100,6598,715423,439787,Female
Germany,2021-06-12,104637,275544,9500,117031,490066,393409,Male
Italy,2021-06-13,340721,24404,3193,154299,659003,362455,Other
Australia,2021-06-14,242083,45236,3179,24072,303929,279713,Other
Italy,2021-06-15,42633,28195,6053,106347,806113,273334,Female
Germany,2021-06-16,264072,427286,2735,136664,968530,324968,Other
Italy,2021-06-17,2017,86173,6117,60478,367008,173824,Male
Germany,2021-06-18,282862,206308,3569,153862,934396,163399,Female
UK,2021-06-19,32354,216591,9848,59403,834731,304214,Male
Italy,2021-06-20,262087,20631,9772,113182,18073,479141,Male
USA,2021-06-21,367536,88979,2204,187654,889736,40197,Female
Australia,2021-06-22,47462,285245,1391,16102,555970,2261,Male
India,2021-06-23,282372,51524,1743,100739,754158,487121,Other
France,2021-06-24,386025,91798,1926,178198,753254,157584,Male
Italy,2021-06-25,242453,126045,620,184542,911734,399932,Female
Canada,2021-06-26,190555,245740,1275,131793,408505,348939,Female
Australia,2021-06-27,65645,331820,957,213,116359,291077,Female
USA,2021-06-28,82280,269154,1940,41474,926431,135450,Male
USA,2021-06-29,88058,429038,3954,184866,966834,40583,Female
Germany,2021-06-30,403181,414786,969,141756,67707,374226,Female
Germany,2021-07-01,395535,180603,9509,135920,252351,347515,Male
France,2021-07-02,302053,36458,9236,22470,471670,160105,Other
UK,2021-07-03,378992,356200,282,120625,239511,417216,Male
Canada,2021-07-04,5387,259618,6263,29350,236718,111032,Female
India,2021-07-05,257765,319328,1059,89931,590716,206940,Female
France,2021-07-06,427703,151613,4294,10799,51601,304748,Male
Brazil,2021-07-07,8612,132463,5179,104181,995969,461552,Other
India,2021-07-08,132514,175745,6981,156243,396755,357218,Female
Italy,2021-07-09,456392,90377,9201,128613,496479,226727,Female
Australia,2021-07-10,108972,393604,1230,37537,636775,73869,Female
Brazil,2021-07-11,412532,202553,9228,164483,679029,267554,Male
Brazil,2021-07-12,247854,143376,4586,21273,465184,345519,Female
France,2021-07-13,93170,182982,8468,72980,414860,187116,Other
