Customer ID,Gender,Age,Region,Customer Segment,Purchase Frequency,Avg Purchase Value (₹),Total Spent (₹),Satisfaction Score,Last Purchase Date,Churn Status
CUST1349,Other,21,East,New,15,15371,230565,3.33,2023-12-16,Inactive
CUST1350,Other,42,East,Loyal,1,1513,1513,2.48,2023-12-17,Inactive
CUST1351,Male,20,East,Regular,12,17110,205320,3.4,2023-12-18,Inactive
CUST1352,Other,49,West,Regular,7,2328,16296,3.82,2023-12-19,Inactive
CUST1353,Male,20,South,New,15,8409,126135,3.75,2023-12-20,Inactive
CUST1354,Male,44,South,Regular,19,6088,115672,2.5,2023-12-21,Active
CUST1355,Other,46,East,Premium,1,13609,13609,1.67,2023-12-22,Churned
CUST1356,Male,49,South,Loyal,17,2523,42891,2.72,2023-12-23,Inactive
CUST1357,Other,36,South,Premium,17,15037,255629,1.57,2023-12-24,Churned
CUST1358,Female,38,West,Regular,3,6391,19173,4.56,2023-12-25,Inactive
CUST1359,Male,22,North,New,12,1580,18960,2.38,2023-12-26,Inactive
CUST1360,Female,35,East,Loyal,6,5536,33216,1.62,2023-12-27,Active
CUST1361,Other,45,East,Regular,11,15879,174669,1.1,2023-12-28,Active
CUST1362,Female,59,West,Regular,3,11322,33966,3.58,2023-12-29,Churned
CUST1363,Female,39,West,New,8,3063,24504,3.55,2023-12-30,Active
CUST1364,Other,38,South,New,14,3792,53088,2.36,2023-12-31,Active
CUST1365,Female,23,East,Premium,14,4086,57204,1.29,2024-01-01,Churned
CUST1366,Female,18,North,Loyal,10,16587,165870,2.64,2024-01-02,Active
CUST1367,Other,22,West,Loyal,2,16600,33200,2.24,2024-01-03,Inactive
CUST1368,Female,58,North,New,14,7143,100002,3.71,2024-01-04,Churned
CUST1369,Other,29,North,Premium,9,4459,40131,3.42,2024-01-05,Churned
CUST1370,Female,43,East,Loyal,3,11505,34515,2.46,2024-01-06,Inactive
CUST1371,Other,63,East,New,8,11275,90200,1.87,2024-01-07,Active
CUST1372,Other,51,West,Regular,16,661,10576,4.95,2024-01-08,Churned
CUST1373,Female,31,East,Loyal,2,16529,33058,2.82,2024-01-09,Churned
CUST1374,Female,43,East,Premium,6,17477,104862,3.75,2024-01-10,Inactive
CUST1375,Female,62,East,Premium,12,14726,176712,1.56,2024-01-11,Inactive
CUST1376,Male,44,North,Premium,5,11654,58270,2.94,2024-01-12,Active
CUST1377,Male,26,West,Regular,2,12580,25160,1.11,2024-01-13,Churned
CUST1378,Male,43,South,Loyal,16,3890,62240,3.02,2024-01-14,Active
CUST1379,Other,64,North,Loyal,5,6497,32485,4.86,2024-01-15,Active
CUST1380,Female,39,East,Regular,15,13193,197895,2.54,2024-01-16,Inactive
CUST1381,Other,64,North,Loyal,12,17547,210564,1.16,2024-01-17,Churned
CUST1382,Male,47,East,Regular,4,9824,39296,1.12,2024-01-18,Churned
CUST1383,Female,60,East,Regular,15,1041,15615,2.55,2024-01-19,Churned
CUST1384,Other,34,North,Regular,11,5593,61523,1.64,2024-01-20,Inactive
CUST1385,Female,43,West,Premium,16,13928,222848,1.09,2024-01-21,Inactive
CUST1386,Other,53,East,Loyal,6,11666,69996,4.02,2024-01-22,Inactive
CUST1387,Female,18,West,Regular,14,17751,248514,2.83,2024-01-23,Inactive
CUST1388,Male,25,South,Loyal,18,16563,298134,2.16,2024-01-24,Inactive
CUST1389,Male,52,East,Premium,12,10758,129096,4.6,2024-01-25,Churned
CUST1390,Female,32,West,Regular,11,16544,181984,1.46,2024-01-26,Active
CUST1391,Other,64,West,New,13,5969,77597,4.82,2024-01-27,Churned
CUST1392,Male,39,South,Premium,11,6756,74316,2.26,2024-01-28,Active
CUST1393,Male,31,West,New,16,11220,179520,4.55,2024-01-29,Inactive
CUST1394,Male,43,West,Loyal,15,1669,25035,3.41,2024-01-30,Active
CUST1395,Female,45,South,Loyal,15,1330,19950,4.31,2024-01-31,Churned
CUST1396,Female,40,East,Premium,4,2151,8604,4.94,2024-02-01,Churned
CUST1397,Other,31,West,Loyal,11,18020,198220,2.15,2024-02-02,Active
CUST1398,Other,41,West,New,19,19694,374186,4.84,2024-02-03,Inactive
CUST1399,Other,19,West,Regular,15,10018,150270,2.56,2024-02-04,Inactive
CUST1400,Female,62,North,Regular,4,13758,55032,2.54,2024-02-05,Churned
CUST1401,Female,43,South,Regular,13,16684,216892,2.36,2024-02-06,Active
CUST1402,Other,31,North,Premium,19,1519,28861,3.17,2024-02-07,Inactive
CUST1403,Other,24,South,Loyal,2,10528,21056,1.62,2024-02-08,Inactive
CUST1404,Female,20,East,New,14,12948,181272,3.21,2024-02-09,Churned
CUST1405,Other,64,East,Loyal,4,12985,51940,3.17,2024-02-10,Inactive
CUST1406,Male,40,West,Loyal,16,1783,28528,4.05,2024-02-11,Active
CUST1407,Female,63,South,Loyal,14,17543,245602,4.33,2024-02-12,Churned
CUST1408,Other,60,East,Regular,15,18894,283410,2.76,2024-02-13,Churned
CUST1409,Female,64,South,New,3,2233,6699,2.21,2024-02-14,Active
CUST1410,Male,62,East,New,8,19009,152072,2.04,2024-02-15,Churned
CUST1411,Female,35,North,Loyal,16,19055,304880,1.78,2024-02-16,Inactive
CUST1412,Female,55,East,Regular,10,16730,167300,1.23,2024-02-17,Inactive
CUST1413,Female,52,North,Regular,4,14972,59888,2.37,2024-02-18,Active
CUST1414,Female,32,East,New,18,13389,241002,2.08,2024-02-19,Inactive
CUST1415,Male,42,West,Regular,2,3971,7942,4.87,2024-02-20,Active
CUST1416,Female,54,North,Regular,17,9528,161976,3.23,2024-02-21,Active
CUST1417,Female,45,East,Regular,13,8829,114777,2.39,2024-02-22,Inactive
CUST1418,Other,27,West,Premium,4,2597,10388,3.32,2024-02-23,Active
CUST1419,Female,56,North,Loyal,11,14582,160402,1.56,2024-02-24,Inactive
CUST1420,Other,34,West,New,7,14430,101010,2.78,2024-02-25,Churned
CUST1421,Male,56,South,New,12,10577,126924,3.5,2024-02-26,Churned
CUST1422,Male,39,South,Premium,10,6897,68970,2.96,2024-02-27,Active
CUST1423,Male,43,North,Loyal,7,3257,22799,2.61,2024-02-28,Inactive
CUST1424,Male,61,East,New,13,18784,244192,4.98,2024-02-29,Inactive
CUST1425,Other,42,North,Regular,7,19494,136458,4.52,2024-03-01,Churned
CUST1426,Female,34,West,New,17,18333,311661,3.49,2024-03-02,Churned
CUST1427,Male,30,East,Regular,10,5517,55170,3.28,2024-03-03,Inactive
CUST1428,Female,37,South,Premium,10,16870,168700,3.48,2024-03-04,Active
CUST1429,Other,42,East,Regular,4,8499,33996,1.81,2024-03-05,Churned
CUST1430,Other,21,South,New,4,10695,42780,2.58,2024-03-06,Active
CUST1431,Other,27,East,New,7,2596,18172,1.16,2024-03-07,Active
CUST1432,Male,20,East,New,1,15933,15933,2.9,2024-03-08,Churned
CUST1433,Female,58,East,Premium,12,11095,133140,3.17,2024-03-09,Active
CUST1434,Female,62,West,Premium,13,16441,213733,1.91,2024-03-10,Active
CUST1435,Female,35,West,Loyal,10,15578,155780,4.86,2024-03-11,Inactive
CUST1436,Other,64,North,New,15,5605,84075,4.64,2024-03-12,Active
CUST1437,Male,53,North,Regular,13,19862,258206,3.89,2024-03-13,Inactive
CUST1438,Other,64,South,Premium,9,3339,30051,3.13,2024-03-14,Churned
CUST1439,Other,39,West,New,9,3884,34956,4.48,2024-03-15,Churned
CUST1440,Female,51,South,New,15,11351,170265,1.52,2024-03-16,Inactive
CUST1441,Other,64,North,Premium,10,10553,105530,4.16,2024-03-17,Churned
CUST1442,Female,25,South,Loyal,10,13993,139930,1.5,2024-03-18,Active
CUST1443,Male,57,North,Premium,8,17569,140552,4.18,2024-03-19,Active
CUST1444,Female,61,West,Premium,16,14639,234224,2.1,2024-03-20,Active
CUST1445,Male,36,East,Regular,17,8031,136527,4.51,2024-03-21,Churned
CUST1446,Female,59,West,Regular,5,4783,23915,4.78,2024-03-22,Active
CUST1447,Other,58,South,Loyal,4,8236,32944,1.6,2024-03-23,Churned
CUST1448,Other,54,South,New,18,8210,147780,2.85,2024-03-24,Active
CUST1449,Male,23,West,Premium,19,2119,40261,4.92,2024-03-25,Inactive
CUST1450,Male,43,West,Loyal,4,14475,57900,2.93,2024-03-26,Churned
CUST1451,Male,51,North,Regular,7,13335,93345,4.45,2024-03-27,Churned
CUST1452,Female,62,South,Premium,10,15761,157610,3.35,2024-03-28,Active
CUST1453,Female,23,South,New,18,1931,34758,2.5,2024-03-29,Churned
CUST1454,Male,54,West,Regular,19,9567,181773,2.14,2024-03-30,Churned
CUST1455,Other,50,East,Regular,4,5213,20852,1.81,2024-03-31,Inactive
CUST1456,Female,39,South,Regular,10,10057,100570,4.05,2024-04-01,Inactive
CUST1457,Female,38,East,Loyal,1,9935,9935,2.55,2024-04-02,Active
CUST1458,Female,23,West,New,18,5498,98964,3.05,2024-04-03,Inactive
CUST1459,Male,23,West,Premium,5,662,3310,2.97,2024-04-04,Active
CUST1460,Male,21,North,Loyal,15,2474,37110,3.31,2024-04-05,Active
CUST1461,Male,47,South,Loyal,17,8961,152337,4.46,2024-04-06,Active
CUST1462,Male,28,East,Loyal,3,17515,52545,4.92,2024-04-07,Churned
CUST1463,Male,47,North,Regular,12,17789,213468,2.63,2024-04-08,Inactive
CUST1464,Other,48,South,New,2,2514,5028,4.31,2024-04-09,Active
CUST1465,Other,41,North,Loyal,1,10333,10333,4.06,2024-04-10,Inactive
CUST1466,Male,26,West,Premium,17,8396,142732,3.29,2024-04-11,Active
CUST1467,Female,20,South,New,16,704,11264,4.82,2024-04-12,Inactive
CUST1468,Male,48,North,Premium,5,17465,87325,1.8,2024-04-13,Inactive
CUST1469,Other,57,North,New,15,9532,142980,1.44,2024-04-14,Active
CUST1470,Other,54,East,Premium,3,5847,17541,4.42,2024-04-15,Churned
CUST1471,Female,53,North,Regular,7,3143,22001,2.76,2024-04-16,Inactive
CUST1472,Other,41,South,Loyal,11,8517,93687,4.39,2024-04-17,Churned
CUST1473,Male,48,South,Premium,10,19181,191810,4.57,2024-04-18,Churned
CUST1474,Female,23,East,New,9,17758,159822,1.25,2024-04-19,Active
CUST1475,Male,19,South,Loyal,14,6060,84840,4.53,2024-04-20,Active
CUST1476,Male,37,West,Loyal,13,16392,213096,2.79,2024-04-21,Active
CUST1477,Female,45,South,New,2,15031,30062,3.04,2024-04-22,Inactive
CUST1478,Male,28,South,Premium,3,17573,52719,3.51,2024-04-23,Active
CUST1479,Other,21,North,Regular,7,4500,31500,4.71,2024-04-24,Active
CUST1480,Male,32,North,Regular,18,14789,266202,1.08,2024-04-25,Inactive
CUST1481,Female,23,South,Premium,3,17555,52665,2.91,2024-04-26,Inactive
CUST1482,Female,47,East,Loyal,10,8427,84270,3.75,2024-04-27,Active
CUST1483,Female,55,North,Loyal,7,16062,112434,3.89,2024-04-28,Active
CUST1484,Male,19,East,Loyal,9,1671,15039,3.77,2024-04-29,Active
CUST1485,Female,32,South,Loyal,17,12418,211106,1.54,2024-04-30,Active
CUST1486,Female,28,South,Premium,11,9635,105985,2.2,2024-05-01,Churned
CUST1487,Male,25,West,Loyal,7,6842,47894,2.43,2024-05-02,Churned
CUST1488,Other,43,North,New,14,18333,256662,4.22,2024-05-03,Active
CUST1489,Male,62,South,Loyal,19,12429,236151,2.12,2024-05-04,Churned
CUST1490,Female,61,West,Regular,4,3039,12156,1.84,2024-05-05,Inactive
CUST1491,Female,22,North,Loyal,6,4459,26754,4.83,2024-05-06,Churned
CUST1492,Male,23,South,Premium,10,13683,136830,1.04,2024-05-07,Churned
CUST1493,Other,43,South,Regular,7,5932,41524,4.99,2024-05-08,Active
CUST1494,Female,21,North,Premium,13,19245,250185,3.71,2024-05-09,Churned
CUST1495,Female,36,North,Premium,14,2253,31542,4.31,2024-05-10,Churned
CUST1496,Female,37,North,Regular,4,18822,75288,2.18,2024-05-11,Churned
CUST1497,Male,50,South,Premium,8,10623,84984,1.06,2024-05-12,Churned
CUST1498,Female,37,South,Premium,5,16876,84380,3.95,2024-05-13,Inactive
CUST1499,Other,29,West,Loyal,1,7088,7088,4.34,2024-05-14,Active
